rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
143,"spotify:track:255vSRpVq5YYKBJiem1BVx","Andree Right Hand","Chơi Như Tụi Mỹ","$maker Music",4,124,76,"183820"
144,"spotify:track:2JuHIbFudHwDqQssgqsH3i","Vũ Phụng Tiên, DT Tập Rap, Drum7","Lệ Lưu Ly","Big Arts Entertainment",6,162,58,"183195"
145,"spotify:track:4tqXSj46umlymdIxqY8zso","SOOBIN","giá như","WDND",13,154,29,"182108"
146,"spotify:track:5XfGQZA0ioQAWUjlyJRcHc","Shiki, Obito","1000 Ánh Mắt","12 trái lê",8,140,18,"180771"
147,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",13,147,28,"180359"
148,"spotify:track:3QjcsqERv4IfmopRvXFoWB","tlinh, Low G","DÂU TẰM","M Music Records",65,125,6,"178936"
149,"spotify:track:25edeHHueINMguqu9emCyV","Đen, Phương Anh Đào","Lối Nhỏ","Đen",1,143,262,"177150"
150,"spotify:track:71Q8QWLpvwvfQ6zM5BdCnm","2T, Văn","Liệu Giờ","LOOPS Music",22,142,217,"177112"
151,"spotify:track:6P7xEmk7ZZYz0AV84uOwiW","AMEE","Cuộc gọi lúc nửa đêm","Yin Yang Media",11,126,13,"175634"
152,"spotify:track:3K7RddI2L8Wiv7uIbrhfLc","The Masked Singer, Lâm Bảo Ngọc, Hứa Kim Tuyền","Rồi Em Sẽ Gặp Một Chàng Trai Khác","THE MASKED SINGER",11,155,50,"175109"
153,"spotify:track:3qllaNK66kKxX123f0eKpj","Vũ.","Mùa Mưa Ấy","WM Vietnam",79,128,5,"174931"
154,"spotify:track:7fNHfgOxPLcg4mQLhCnOHB","Rapital, Groovie Lã Thắng, tlinh, RPT MCK","XTC (Xích Thêm Chút) (Remix)","M Music Records",87,158,174,"174739"
155,"spotify:track:5cml547MByVlaVrKU2lJTg","Andree Right Hand, Wxrdie, Bình Gold, 2pillz","Em iu","$maker Music",18,167,75,"173341"
156,"spotify:track:2n00rcPaXcWfFB9irOKOmh","Ronboogz","Anh Chỉ Muốn","MaiDao Music",77,127,42,"172746"
157,"spotify:track:3z7at2LZwJsg8UvqGw3JAv","MIN, Mr A","Có Em Chờ","MIN",139,150,21,"172666"
158,"spotify:track:3ER1r0HipeSSu7YNImC6vd","Wxrdie, Marlykid, Lucin3x","Bước Za Đi Xa","Universal Music Indochina Distributed Labels",61,139,6,"172506"
